Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-14,Washington Commanders,Philadelphia Eagles,Jayden Daniels,Washington Commanders,191,1,1,0,0,0,18,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Brian Robinson Jr.,Washington Commanders,0,0,0,1,9,0,63,1,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Austin Ekeler,Washington Commanders,0,0,0,8,89,0,7,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Jeremy McNichols,Washington Commanders,0,0,0,1,1,0,5,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Zach Ertz,Washington Commanders,0,0,0,6,47,1,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,John Bates,Washington Commanders,0,0,0,2,17,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Olamide Zaccheaus,Washington Commanders,0,0,0,1,10,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Terry McLaurin,Washington Commanders,0,0,0,1,10,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Noah Brown,Washington Commanders,0,0,0,1,4,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Dyami Brown,Washington Commanders,0,0,0,1,4,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Luke McCaffrey,Washington Commanders,0,0,0,0,0,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,221,0,0,0,0,0,39,1,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,0,0,0,2,52,0,146,2,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Kenneth Gainwell,Philadelphia Eagles,0,0,0,1,6,0,43,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,A.J. Brown,Philadelphia Eagles,0,0,0,5,65,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Dallas Goedert,Philadelphia Eagles,0,0,0,5,61,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,DeVonta Smith,Philadelphia Eagles,0,0,0,4,29,0,0,0,0
2024-11-14,Washington Commanders,Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,0,0,0,1,8,0,0,0,0
