Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Atlanta Falcons,Denver Broncos,Kirk Cousins,Atlanta Falcons,173,0,1,0,0,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Michael Penix,Atlanta Falcons,24,0,0,0,0,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Bijan Robinson,Atlanta Falcons,0,0,0,4,28,0,35,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Jase McClellan,Atlanta Falcons,0,0,0,0,0,0,15,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Drake London,Atlanta Falcons,0,0,0,3,61,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Ray-Ray McCloud,Atlanta Falcons,0,0,0,6,46,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Darnell Mooney,Atlanta Falcons,0,0,0,2,27,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,KhaDarel Hodge,Atlanta Falcons,0,0,0,2,22,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Kyle Pitts,Atlanta Falcons,0,0,0,1,9,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Ross Dwelley,Atlanta Falcons,0,0,0,1,5,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Casey Washington,Atlanta Falcons,0,0,0,0,0,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Tyler Allgeier,Atlanta Falcons,0,0,0,1,-1,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Bo Nix,Denver Broncos,307,4,0,0,0,0,5,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Javonte Williams,Denver Broncos,0,0,0,4,28,0,59,1,0
2024-11-17,Atlanta Falcons,Denver Broncos,Jaleel McLaughlin,Denver Broncos,0,0,0,0,0,0,19,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Audric Estime,Denver Broncos,0,0,0,3,9,0,16,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Marvin Mims,Denver Broncos,0,0,0,2,49,1,4,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Michael Burton,Denver Broncos,0,0,0,1,-2,0,2,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Courtland Sutton,Denver Broncos,0,0,0,7,78,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Devaughn Vele,Denver Broncos,0,0,0,4,66,0,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Lil'Jordan Humphrey,Denver Broncos,0,0,0,4,52,1,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Troy Franklin,Denver Broncos,0,0,0,2,15,1,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Nate Adkins,Denver Broncos,0,0,0,1,12,1,0,0,0
2024-11-17,Atlanta Falcons,Denver Broncos,Adam Trautman,Denver Broncos,0,0,0,0,0,0,0,0,0
