Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Lamar Jackson,Baltimore Ravens,207,1,1,0,0,0,46,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Derrick Henry,Baltimore Ravens,0,0,0,0,0,0,65,1,1
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Justice Hill,Baltimore Ravens,0,0,0,4,28,0,13,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Isaiah Likely,Baltimore Ravens,0,0,0,4,75,0,0,0,1
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Zay Flowers,Baltimore Ravens,0,0,0,2,39,1,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Rashod Bateman,Baltimore Ravens,0,0,0,2,30,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Mark Andrews,Baltimore Ravens,0,0,0,2,22,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Tylan Wallace,Baltimore Ravens,0,0,0,1,8,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Patrick Ricard,Baltimore Ravens,0,0,0,1,5,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Nelson Agholor,Baltimore Ravens,0,0,0,0,0,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Diontae Johnson,Baltimore Ravens,0,0,0,0,0,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Russell Wilson,Pittsburgh Steelers,205,0,1,0,0,0,1,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Najee Harris,Pittsburgh Steelers,0,0,0,4,30,0,63,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Jaylen Warren,Pittsburgh Steelers,0,0,0,4,27,0,41,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Justin Fields,Pittsburgh Steelers,0,0,0,0,0,0,17,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,George Pickens,Pittsburgh Steelers,0,0,0,8,89,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Darnell Washington,Pittsburgh Steelers,0,0,0,2,42,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Pat Freiermuth,Pittsburgh Steelers,0,0,0,2,14,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Ben Skowronek,Pittsburgh Steelers,0,0,0,1,4,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Van Jefferson,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Cordarrelle Patterson,Pittsburgh Steelers,0,0,0,1,0,0,0,0,0
2024-11-17,Baltimore Ravens,Pittsburgh Steelers,Calvin Austin III,Pittsburgh Steelers,0,0,0,1,-1,0,0,0,0
