Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Joe Burrow,Cincinnati Bengals,356,3,0,0,0,0,28,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Chase Brown,Cincinnati Bengals,0,0,0,5,57,0,86,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Tee Higgins,Cincinnati Bengals,0,0,0,9,148,1,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Ja'Marr Chase,Cincinnati Bengals,0,0,0,7,75,2,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Andrei Iosivas,Cincinnati Bengals,0,0,0,3,46,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Tanner Hudson,Cincinnati Bengals,0,0,0,2,13,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Jermaine Burton,Cincinnati Bengals,0,0,0,1,8,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Mike Gesicki,Cincinnati Bengals,0,0,0,0,0,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Drew Sample,Cincinnati Bengals,0,0,0,1,9,0,-4,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Justin Herbert,Los Angeles Chargers,297,2,0,0,0,0,65,0,1
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,J.K. Dobbins,Los Angeles Chargers,0,0,0,1,3,0,56,2,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Gus Edwards,Los Angeles Chargers,0,0,0,0,0,0,27,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Derius Davis,Los Angeles Chargers,0,0,0,1,14,0,6,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Hassan Haskins,Los Angeles Chargers,0,0,0,0,0,0,1,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Ladd McConkey,Los Angeles Chargers,0,0,0,6,123,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Will Dissly,Los Angeles Chargers,0,0,0,4,80,1,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Quentin Johnston,Los Angeles Chargers,0,0,0,2,48,1,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Josh Palmer,Los Angeles Chargers,0,0,0,2,23,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Tucker Fisk,Los Angeles Chargers,0,0,0,1,6,0,0,0,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,Jalen Reagor,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
