Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,1,6:27,Cincinnati Bengals,Evan McPherson 26 yard field goal,3,0
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,1,3:34,Los Angeles Chargers,Will Dissly 29 yard pass from Justin Herbert (Cameron Dicker kick),3,7
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,2,12:54,Cincinnati Bengals,Evan McPherson 27 yard field goal,6,7
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,2,11:02,Los Angeles Chargers,Quentin Johnston 26 yard pass from Justin Herbert (Cameron Dicker kick),6,14
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,2,4:35,Los Angeles Chargers,J.K. Dobbins 1 yard rush (Cameron Dicker kick),6,21
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,2,0:00,Los Angeles Chargers,Cameron Dicker 19 yard field goal,6,24
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,3,10:29,Los Angeles Chargers,Cameron Dicker 53 yard field goal,6,27
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,3,5:27,Cincinnati Bengals,Ja'Marr Chase 4 yard pass from Joe Burrow (Evan McPherson kick),13,27
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,3,2:53,Cincinnati Bengals,Tee Higgins 42 yard pass from Joe Burrow (Evan McPherson kick),20,27
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,4,12:21,Cincinnati Bengals,Ja'Marr Chase 17 yard pass from Joe Burrow (Evan McPherson kick),27,27
2024-11-17,Cincinnati Bengals,Los Angeles Chargers,4,0:18,Los Angeles Chargers,J.K. Dobbins 29 yard rush (Cameron Dicker kick),27,34
