Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Cleveland Browns,New Orleans Saints,Jameis Winston,Cleveland Browns,395,2,0,0,0,0,8,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Dorian Thompson-Robinson,Cleveland Browns,0,0,0,0,0,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Nick Chubb,Cleveland Browns,0,0,0,0,0,0,50,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Jerome Ford,Cleveland Browns,0,0,0,4,29,0,10,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Pierre Strong,Cleveland Browns,0,0,0,0,0,0,5,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Jerry Jeudy,Cleveland Browns,0,0,0,6,142,1,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,David Njoku,Cleveland Browns,0,0,0,9,81,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Elijah Moore,Cleveland Browns,0,0,0,6,66,1,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Cedric Tillman,Cleveland Browns,0,0,0,3,47,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Jordan Akins,Cleveland Browns,0,0,0,1,19,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Jamari Thrash,Cleveland Browns,0,0,0,1,11,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Kadarius Toney,Cleveland Browns,0,0,0,0,0,0,-7,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Derek Carr,New Orleans Saints,248,2,0,0,0,0,8,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Taysom Hill,New Orleans Saints,18,0,1,8,50,0,138,3,1
2024-11-17,Cleveland Browns,New Orleans Saints,Alvin Kamara,New Orleans Saints,0,0,0,4,22,0,67,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Jordan Mims,New Orleans Saints,0,0,0,0,0,0,3,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Marquez Valdes-Scantling,New Orleans Saints,0,0,0,2,87,1,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Foster Moreau,New Orleans Saints,0,0,0,3,50,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Juwan Johnson,New Orleans Saints,0,0,0,3,30,1,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Kevin Austin,New Orleans Saints,0,0,0,1,18,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Dante Pettis,New Orleans Saints,0,0,0,1,9,0,0,0,0
2024-11-17,Cleveland Browns,New Orleans Saints,Jake Haener,New Orleans Saints,0,0,0,0,0,0,-2,0,0
