Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Green Bay Packers,Chicago Bears,Jordan Love,Green Bay Packers,261,1,1,0,0,0,18,1,0
2024-11-17,Green Bay Packers,Chicago Bears,Josh Jacobs,Green Bay Packers,0,0,0,4,58,0,76,1,0
2024-11-17,Green Bay Packers,Chicago Bears,Emanuel Wilson,Green Bay Packers,0,0,0,0,0,0,17,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Christian Watson,Green Bay Packers,0,0,0,4,150,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Romeo Doubs,Green Bay Packers,0,0,0,1,17,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Chris Brooks,Green Bay Packers,0,0,0,2,13,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Tucker Kraft,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Dontayvion Wicks,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Jayden Reed,Green Bay Packers,0,0,0,2,23,1,-5,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Caleb Williams,Chicago Bears,231,0,0,0,0,0,70,0,0
2024-11-17,Green Bay Packers,Chicago Bears,D'Andre Swift,Chicago Bears,0,0,0,2,13,0,71,1,0
2024-11-17,Green Bay Packers,Chicago Bears,Roschon Johnson,Chicago Bears,0,0,0,1,8,0,33,1,0
2024-11-17,Green Bay Packers,Chicago Bears,D.J. Moore,Chicago Bears,0,0,0,7,62,0,5,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Rome Odunze,Chicago Bears,0,0,0,6,65,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Cole Kmet,Chicago Bears,0,0,0,3,42,0,0,0,0
2024-11-17,Green Bay Packers,Chicago Bears,Keenan Allen,Chicago Bears,0,0,0,4,41,0,0,0,0
