Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Indianapolis Colts,New York Jets,Anthony Richardson,Indianapolis Colts,272,1,0,0,0,0,32,2,1
2024-11-17,Indianapolis Colts,New York Jets,Jonathan Taylor,Indianapolis Colts,0,0,0,1,3,0,57,0,0
2024-11-17,Indianapolis Colts,New York Jets,Adonai Mitchell,Indianapolis Colts,0,0,0,1,33,0,2,0,0
2024-11-17,Indianapolis Colts,New York Jets,Josh Downs,Indianapolis Colts,0,0,0,5,84,1,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Alec Pierce,Indianapolis Colts,0,0,0,3,74,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Michael Pittman Jr.,Indianapolis Colts,0,0,0,5,46,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Mo Alie-Cox,Indianapolis Colts,0,0,0,2,17,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Andrew Ogletree,Indianapolis Colts,0,0,0,1,8,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Kylen Granson,Indianapolis Colts,0,0,0,1,4,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Trey Sermon,Indianapolis Colts,0,0,0,1,3,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Aaron Rodgers,New York Jets,184,2,0,0,0,0,7,0,0
2024-11-17,Indianapolis Colts,New York Jets,Breece Hall,New York Jets,0,0,0,7,43,1,78,1,0
2024-11-17,Indianapolis Colts,New York Jets,Braelon Allen,New York Jets,0,0,0,0,0,0,6,0,0
2024-11-17,Indianapolis Colts,New York Jets,Davante Adams,New York Jets,0,0,0,6,72,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Garrett Wilson,New York Jets,0,0,0,4,18,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Xavier Gipson,New York Jets,0,0,0,1,17,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Kenny Yeboah,New York Jets,0,0,0,1,11,1,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Malachi Corley,New York Jets,0,0,0,1,10,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Tyler Conklin,New York Jets,0,0,0,1,7,0,0,0,0
2024-11-17,Indianapolis Colts,New York Jets,Jeremy Ruckert,New York Jets,0,0,0,1,6,0,0,0,0
