Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Jacksonville Jaguars,Detroit Lions,Mac Jones,Jacksonville Jaguars,138,0,1,0,0,0,7,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Travis Etienne,Jacksonville Jaguars,0,0,0,3,6,0,27,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Brian Thomas,Jacksonville Jaguars,0,0,0,5,82,0,4,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,0,0,0,3,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Evan Engram,Jacksonville Jaguars,0,0,0,5,28,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Parker Washington,Jacksonville Jaguars,0,0,0,1,10,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Brenton Strange,Jacksonville Jaguars,0,0,0,1,6,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Luke Farrell,Jacksonville Jaguars,0,0,0,1,3,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Gabriel Davis,Jacksonville Jaguars,0,0,0,1,3,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Devin Duvernay,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Jared Goff,Detroit Lions,412,4,0,0,0,0,21,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Hendon Hooker,Detroit Lions,37,0,0,0,0,0,3,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,David Montgomery,Detroit Lions,0,0,0,3,20,0,75,2,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Jahmyr Gibbs,Detroit Lions,0,0,0,1,54,0,69,1,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Craig Reynolds,Detroit Lions,0,0,0,0,0,0,21,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Sione Vaki,Detroit Lions,0,0,0,0,0,0,9,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Jameson Williams,Detroit Lions,0,0,0,4,124,1,2,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Kalif Raymond,Detroit Lions,0,0,0,2,30,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Tim Patrick,Detroit Lions,0,0,0,3,26,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Shane Zylstra,Detroit Lions,0,0,0,1,22,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Allen Robinson,Detroit Lions,0,0,0,1,7,0,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Brock Wright,Detroit Lions,0,0,0,1,5,1,0,0,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,Amon-Ra St. Brown,Detroit Lions,0,0,0,11,161,2,-4,0,0
