Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-17,Jacksonville Jaguars,Detroit Lions,1,9:36,Jacksonville Jaguars,Cam Little 59 yard field goal,3,0
2024-11-17,Jacksonville Jaguars,Detroit Lions,1,4:59,Detroit Lions,David Montgomery 2 yard rush (Jake Bates kick),3,7
2024-11-17,Jacksonville Jaguars,Detroit Lions,2,12:26,Detroit Lions,Jahmyr Gibbs 1 yard rush (Jake Bates kick),3,14
2024-11-17,Jacksonville Jaguars,Detroit Lions,2,6:39,Detroit Lions,David Montgomery 6 yard rush (Jake Bates kick),3,21
2024-11-17,Jacksonville Jaguars,Detroit Lions,2,2:46,Detroit Lions,Amon-Ra St. Brown 27 yard pass from Jared Goff (Jake Bates kick),3,28
2024-11-17,Jacksonville Jaguars,Detroit Lions,2,0:00,Jacksonville Jaguars,Cam Little 35 yard field goal,6,28
2024-11-17,Jacksonville Jaguars,Detroit Lions,3,12:55,Detroit Lions,Jameson Williams 64 yard pass from Jared Goff (Jake Bates kick),6,35
2024-11-17,Jacksonville Jaguars,Detroit Lions,3,4:16,Detroit Lions,Brock Wright 5 yard pass from Jared Goff (Jake Bates kick),6,42
2024-11-17,Jacksonville Jaguars,Detroit Lions,4,13:23,Detroit Lions,Amon-Ra St. Brown 9 yard pass from Jared Goff (Jake Bates kick),6,49
2024-11-17,Jacksonville Jaguars,Detroit Lions,4,7:49,Detroit Lions,Jake Bates 54 yard field goal,6,52
