Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Kansas City Chiefs,Buffalo Bills,Patrick Mahomes,Kansas City Chiefs,196,3,2,0,0,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Kareem Hunt,Kansas City Chiefs,0,0,0,0,0,0,60,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Mecole Hardman,Kansas City Chiefs,0,0,0,2,12,0,9,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Xavier Worthy,Kansas City Chiefs,0,0,0,4,61,1,7,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Carson Steele,Kansas City Chiefs,0,0,0,1,5,0,2,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,DeAndre Hopkins,Kansas City Chiefs,0,0,0,3,29,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Justin Watson,Kansas City Chiefs,0,0,0,2,26,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Noah Gray,Kansas City Chiefs,0,0,0,4,23,2,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Peyton Hendershot,Kansas City Chiefs,0,0,0,1,11,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,JuJu Smith-Schuster,Kansas City Chiefs,0,0,0,1,8,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Samaje Perine,Kansas City Chiefs,0,0,0,2,8,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Travis Kelce,Kansas City Chiefs,0,0,0,2,8,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Mike Caliendo,Kansas City Chiefs,0,0,0,1,5,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Josh Allen,Buffalo Bills,262,1,1,0,0,0,55,1,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,James Cook,Buffalo Bills,0,0,0,5,7,0,20,2,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Ty Johnson,Buffalo Bills,0,0,0,0,0,0,18,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Ray Davis,Buffalo Bills,0,0,0,0,0,0,11,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Khalil Shakir,Buffalo Bills,0,0,0,8,70,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Curtis Samuel,Buffalo Bills,0,0,0,5,58,1,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Amari Cooper,Buffalo Bills,0,0,0,2,55,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Dawson Knox,Buffalo Bills,0,0,0,4,40,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Mack Hollins,Buffalo Bills,0,0,0,2,27,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Zach Davidson,Buffalo Bills,0,0,0,1,5,0,0,0,0
2024-11-17,Kansas City Chiefs,Buffalo Bills,Quintin Morris,Buffalo Bills,0,0,0,0,0,0,0,0,0
