Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Las Vegas Raiders,Miami Dolphins,Gardner Minshew II,Las Vegas Raiders,282,2,1,0,0,0,7,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Jakobi Meyers,Las Vegas Raiders,0,0,0,4,28,0,20,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Alexander Mattison,Las Vegas Raiders,0,0,0,3,50,0,19,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Zamir White,Las Vegas Raiders,0,0,0,0,0,0,9,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Tre Tucker,Las Vegas Raiders,0,0,0,3,28,0,7,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Ameer Abdullah,Las Vegas Raiders,0,0,0,3,16,1,1,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,DJ Turner,Las Vegas Raiders,0,0,0,3,29,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Michael Mayer,Las Vegas Raiders,0,0,0,1,5,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Ramel Keyton,Las Vegas Raiders,0,0,0,0,0,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Brock Bowers,Las Vegas Raiders,0,0,0,13,126,1,-3,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Tua Tagovailoa,Miami Dolphins,288,3,0,0,0,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,De'Von Achane,Miami Dolphins,0,0,0,4,32,0,73,1,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Malik Washington,Miami Dolphins,0,0,0,3,11,0,7,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Jaylen Wright,Miami Dolphins,0,0,0,1,2,0,4,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Jonnu Smith,Miami Dolphins,0,0,0,6,101,2,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Tyreek Hill,Miami Dolphins,0,0,0,7,61,1,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Jaylen Waddle,Miami Dolphins,0,0,0,2,37,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Julian Hill,Miami Dolphins,0,0,0,2,28,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Odell Beckham Jr.,Miami Dolphins,0,0,0,2,13,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Durham Smythe,Miami Dolphins,0,0,0,1,3,0,0,0,0
2024-11-17,Las Vegas Raiders,Miami Dolphins,Raheem Mostert,Miami Dolphins,0,0,0,0,0,0,-2,0,0
