Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-17,Las Vegas Raiders,Miami Dolphins,1,6:47,Miami Dolphins,Jonnu Smith 1 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7
2024-11-17,Las Vegas Raiders,Miami Dolphins,1,0:08,Las Vegas Raiders,Daniel Carlson 27 yard field goal,3,7
2024-11-17,Las Vegas Raiders,Miami Dolphins,2,6:46,Miami Dolphins,Jason Sanders 31 yard field goal,3,10
2024-11-17,Las Vegas Raiders,Miami Dolphins,2,0:45,Las Vegas Raiders,Daniel Carlson 22 yard field goal,6,10
2024-11-17,Las Vegas Raiders,Miami Dolphins,3,4:13,Miami Dolphins,Tyreek Hill 8 yard pass from Tua Tagovailoa (Jason Sanders kick),6,17
2024-11-17,Las Vegas Raiders,Miami Dolphins,3,1:21,Las Vegas Raiders,Brock Bowers 23 yard pass from Gardner Minshew II (run failed),12,17
2024-11-17,Las Vegas Raiders,Miami Dolphins,4,10:37,Miami Dolphins,De'Von Achane 2 yard rush (Jason Sanders kick),12,24
2024-11-17,Las Vegas Raiders,Miami Dolphins,4,4:23,Las Vegas Raiders,Ameer Abdullah 10 yard pass from Gardner Minshew II (Daniel Carlson kick),19,24
2024-11-17,Las Vegas Raiders,Miami Dolphins,4,3:19,Miami Dolphins,Jonnu Smith 57 yard pass from Tua Tagovailoa (Jason Sanders kick),19,31
2024-11-17,Las Vegas Raiders,Miami Dolphins,4,1:55,Miami Dolphins,Jason Sanders 46 yard field goal,19,34
