Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Los Angeles Rams,New England Patriots,Matthew Stafford,Los Angeles Rams,295,4,0,0,0,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Kyren Williams,Los Angeles Rams,0,0,0,0,0,0,86,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Blake Corum,Los Angeles Rams,0,0,0,1,7,0,21,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Puka Nacua,Los Angeles Rams,0,0,0,7,123,1,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Cooper Kupp,Los Angeles Rams,0,0,0,6,106,2,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Tutu Atwell,Los Angeles Rams,0,0,0,1,21,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Demarcus Robinson,Los Angeles Rams,0,0,0,2,19,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Colby Parkinson,Los Angeles Rams,0,0,0,1,19,1,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Drake Maye,New England Patriots,282,2,1,0,0,0,27,0,1
2024-11-17,Los Angeles Rams,New England Patriots,Rhamondre Stevenson,New England Patriots,0,0,0,4,16,0,73,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Antonio Gibson,New England Patriots,0,0,0,1,2,0,18,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Marcus Jones,New England Patriots,0,0,0,0,0,0,5,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Jamycal Hasty,New England Patriots,0,0,0,0,0,0,2,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Kendrick Bourne,New England Patriots,0,0,0,5,70,1,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Hunter Henry,New England Patriots,0,0,0,6,63,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Demario Douglas,New England Patriots,0,0,0,4,59,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Austin Hooper,New England Patriots,0,0,0,4,35,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Kayshon Boutte,New England Patriots,0,0,0,4,33,0,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Vederian Lowe,New England Patriots,0,0,0,1,4,1,0,0,0
2024-11-17,Los Angeles Rams,New England Patriots,Jaheim Bell,New England Patriots,0,0,0,0,0,0,0,0,0
