Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Minnesota Vikings,Tennessee Titans,Sam Darnold,Minnesota Vikings,246,2,0,0,0,0,18,1,1
2024-11-17,Minnesota Vikings,Tennessee Titans,Aaron Jones,Minnesota Vikings,0,0,0,1,4,0,39,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Cam Akers,Minnesota Vikings,0,0,0,2,11,1,25,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Justin Jefferson,Minnesota Vikings,0,0,0,6,81,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Jordan Addison,Minnesota Vikings,0,0,0,3,61,1,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Josh Oliver,Minnesota Vikings,0,0,0,3,34,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Trent Sherfield,Minnesota Vikings,0,0,0,1,16,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,T.J. Hockenson,Minnesota Vikings,0,0,0,2,13,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Brandon Powell,Minnesota Vikings,0,0,0,1,13,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Johnny Mundt,Minnesota Vikings,0,0,0,1,13,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Jalen Nailor,Minnesota Vikings,0,0,0,0,0,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Will Levis,Tennessee Titans,295,1,1,0,0,0,18,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Tony Pollard,Tennessee Titans,0,0,0,2,14,0,15,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Nick Westbrook-Ikhine,Tennessee Titans,0,0,0,2,117,1,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Calvin Ridley,Tennessee Titans,0,0,0,4,58,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Tyler Boyd,Tennessee Titans,0,0,0,2,34,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Bryce Oliver,Tennessee Titans,0,0,0,1,33,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Chigoziem Okonkwo,Tennessee Titans,0,0,0,2,19,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Tyjae Spears,Tennessee Titans,0,0,0,2,8,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Nick Vannett,Tennessee Titans,0,0,0,1,6,0,0,0,0
2024-11-17,Minnesota Vikings,Tennessee Titans,Josh Whyle,Tennessee Titans,0,0,0,1,6,0,0,0,0
