Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-17,Seattle Seahawks,San Francisco 49ers,Geno Smith,Seattle Seahawks,221,0,1,0,0,0,29,1,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Kenneth Walker III,Seattle Seahawks,0,0,0,2,5,0,54,1,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,10,110,0,8,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Zach Charbonnet,Seattle Seahawks,0,0,0,2,2,0,3,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,D.K. Metcalf,Seattle Seahawks,0,0,0,7,70,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Tyler Lockett,Seattle Seahawks,0,0,0,2,19,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,AJ Barner,Seattle Seahawks,0,0,0,2,15,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Brock Purdy,San Francisco 49ers,159,1,1,0,0,0,40,1,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Christian McCaffrey,San Francisco 49ers,0,0,0,4,27,0,79,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Jordan Mason,San Francisco 49ers,0,0,0,0,0,0,13,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Jauan Jennings,San Francisco 49ers,0,0,0,10,91,1,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Kyle Juszczyk,San Francisco 49ers,0,0,0,2,12,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Eric Saubert,San Francisco 49ers,0,0,0,1,7,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Ricky Pearsall,San Francisco 49ers,0,0,0,0,0,0,0,0,0
2024-11-17,Seattle Seahawks,San Francisco 49ers,Deebo Samuel,San Francisco 49ers,0,0,0,4,22,0,-1,0,0
