Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-18,Houston Texans,Dallas Cowboys,C.J. Stroud,Houston Texans,257,0,1,0,0,0,26,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Joe Mixon,Houston Texans,0,0,0,2,44,0,109,3,0
2024-11-18,Houston Texans,Dallas Cowboys,Tank Dell,Houston Texans,0,0,0,4,54,0,4,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Dameon Pierce,Houston Texans,0,0,0,0,0,0,2,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Nico Collins,Houston Texans,0,0,0,4,54,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,John Metchie,Houston Texans,0,0,0,3,33,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Dalton Schultz,Houston Texans,0,0,0,5,33,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Cade Stover,Houston Texans,0,0,0,2,15,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Robert Woods,Houston Texans,0,0,0,2,13,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Dare Ogunbowale,Houston Texans,0,0,0,1,11,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Cooper Rush,Dallas Cowboys,354,1,1,0,0,0,2,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Bryan Anger,Dallas Cowboys,4,0,0,0,0,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Rico Dowdle,Dallas Cowboys,0,0,0,2,6,0,28,0,0
2024-11-18,Houston Texans,Dallas Cowboys,CeeDee Lamb,Dallas Cowboys,0,0,0,8,93,0,13,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Deuce Vaughn,Dallas Cowboys,0,0,0,1,4,0,13,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Ezekiel Elliott,Dallas Cowboys,0,0,0,3,16,0,8,0,0
2024-11-18,Houston Texans,Dallas Cowboys,KaVontae Turpin,Dallas Cowboys,0,0,0,3,86,1,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Luke Schoonmaker,Dallas Cowboys,0,0,0,6,56,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Brevyn Spann-Ford,Dallas Cowboys,0,0,0,4,42,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Jalen Tolbert,Dallas Cowboys,0,0,0,2,21,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Ryan Flournoy,Dallas Cowboys,0,0,0,2,19,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Jake Ferguson,Dallas Cowboys,0,0,0,1,11,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Juanyeh Thomas,Dallas Cowboys,0,0,0,1,4,0,0,0,0
2024-11-18,Houston Texans,Dallas Cowboys,Jonathan Mingo,Dallas Cowboys,0,0,0,0,0,0,0,0,0
