Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Russell Wilson,Pittsburgh Steelers,270,1,0,0,0,0,10,0,1
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Justin Fields,Pittsburgh Steelers,0,0,0,0,0,0,26,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Jaylen Warren,Pittsburgh Steelers,0,0,0,3,19,0,45,1,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Najee Harris,Pittsburgh Steelers,0,0,0,2,13,0,41,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Calvin Austin III,Pittsburgh Steelers,0,0,0,3,78,1,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Pat Freiermuth,Pittsburgh Steelers,0,0,0,4,59,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,George Pickens,Pittsburgh Steelers,0,0,0,4,48,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Van Jefferson,Pittsburgh Steelers,0,0,0,2,39,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Darnell Washington,Pittsburgh Steelers,0,0,0,3,14,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Cordarrelle Patterson,Pittsburgh Steelers,0,0,0,0,0,0,-2,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Jameis Winston,Cleveland Browns,219,0,1,0,0,0,7,1,1
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Nick Chubb,Cleveland Browns,0,0,0,1,1,0,59,2,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Jerome Ford,Cleveland Browns,0,0,0,1,8,0,19,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Jerry Jeudy,Cleveland Browns,0,0,0,6,85,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Jordan Akins,Cleveland Browns,0,0,0,3,38,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Blake Whiteheart,Cleveland Browns,0,0,0,1,29,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Cedric Tillman,Cleveland Browns,0,0,0,2,28,0,0,0,1
2024-11-21,Pittsburgh Steelers,Cleveland Browns,Elijah Moore,Cleveland Browns,0,0,0,3,21,0,0,0,0
2024-11-21,Pittsburgh Steelers,Cleveland Browns,David Njoku,Cleveland Browns,0,0,0,1,9,0,0,0,0
