Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Arizona Cardinals,Seattle Seahawks,Kyler Murray,Arizona Cardinals,285,0,1,0,0,0,9,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Trey Benson,Arizona Cardinals,0,0,0,0,0,0,18,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Emari Demercado,Arizona Cardinals,0,0,0,0,0,0,14,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,James Conner,Arizona Cardinals,0,0,0,5,41,0,8,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Trey McBride,Arizona Cardinals,0,0,0,12,133,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Michael Wilson,Arizona Cardinals,0,0,0,2,54,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,3,47,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Greg Dortch,Arizona Cardinals,0,0,0,1,5,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Elijah Higgins,Arizona Cardinals,0,0,0,1,5,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Geno Smith,Seattle Seahawks,254,1,1,0,0,0,2,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Kenneth Walker III,Seattle Seahawks,0,0,0,4,52,0,41,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Zach Charbonnet,Seattle Seahawks,0,0,0,0,0,0,22,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,6,77,1,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,D.K. Metcalf,Seattle Seahawks,0,0,0,4,59,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Tyler Lockett,Seattle Seahawks,0,0,0,2,20,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Pharaoh Brown,Seattle Seahawks,0,0,0,2,19,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,AJ Barner,Seattle Seahawks,0,0,0,3,19,0,0,0,0
2024-11-24,Arizona Cardinals,Seattle Seahawks,Jake Bobo,Seattle Seahawks,0,0,0,1,8,0,0,0,0
