Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Dallas Cowboys,Washington Commanders,Cooper Rush,Dallas Cowboys,247,2,0,0,0,0,1,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Rico Dowdle,Dallas Cowboys,0,0,0,3,12,0,86,0,1
2024-11-24,Dallas Cowboys,Washington Commanders,Ezekiel Elliott,Dallas Cowboys,0,0,0,0,0,0,6,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,CeeDee Lamb,Dallas Cowboys,0,0,0,10,67,0,1,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Luke Schoonmaker,Dallas Cowboys,0,0,0,3,55,1,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Jalen Brooks,Dallas Cowboys,0,0,0,1,41,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Brevyn Spann-Ford,Dallas Cowboys,0,0,0,2,24,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Jalen Tolbert,Dallas Cowboys,0,0,0,2,22,1,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Hunter Luepke,Dallas Cowboys,0,0,0,1,10,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Jonathan Mingo,Dallas Cowboys,0,0,0,1,8,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,KaVontae Turpin,Dallas Cowboys,0,0,0,1,8,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Trey Lance,Dallas Cowboys,0,0,0,0,0,0,-3,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Jayden Daniels,Washington Commanders,275,2,2,0,0,0,74,1,0
2024-11-24,Dallas Cowboys,Washington Commanders,Austin Ekeler,Washington Commanders,0,0,0,2,2,0,22,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,22,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Dyami Brown,Washington Commanders,0,0,0,2,22,0,14,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Brian Robinson Jr.,Washington Commanders,0,0,0,1,11,0,13,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Terry McLaurin,Washington Commanders,0,0,0,5,102,1,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Noah Brown,Washington Commanders,0,0,0,6,71,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Zach Ertz,Washington Commanders,0,0,0,6,38,1,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,John Bates,Washington Commanders,0,0,0,1,13,0,0,0,1
2024-11-24,Dallas Cowboys,Washington Commanders,Luke McCaffrey,Washington Commanders,0,0,0,1,8,0,0,0,0
2024-11-24,Dallas Cowboys,Washington Commanders,Olamide Zaccheaus,Washington Commanders,0,0,0,1,8,0,0,0,0
