Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-24,Dallas Cowboys,Washington Commanders,1,9:01,Washington Commanders,Austin Seibert 41 yard field goal,0,3
2024-11-24,Dallas Cowboys,Washington Commanders,2,0:03,Dallas Cowboys,Brandon Aubrey 46 yard field goal,3,3
2024-11-24,Dallas Cowboys,Washington Commanders,3,9:53,Washington Commanders,Jayden Daniels 17 yard rush (Austin Seibert kick failed),3,9
2024-11-24,Dallas Cowboys,Washington Commanders,3,4:47,Dallas Cowboys,Jalen Tolbert 6 yard pass from Cooper Rush (Brandon Aubrey kick),10,9
2024-11-24,Dallas Cowboys,Washington Commanders,4,8:11,Dallas Cowboys,Brandon Aubrey 48 yard field goal,13,9
2024-11-24,Dallas Cowboys,Washington Commanders,4,5:23,Dallas Cowboys,Luke Schoonmaker 22 yard pass from Cooper Rush (Brandon Aubrey kick),20,9
2024-11-24,Dallas Cowboys,Washington Commanders,4,3:06,Washington Commanders,Zach Ertz 4 yard pass from Jayden Daniels (Jayden Daniels run),20,17
2024-11-24,Dallas Cowboys,Washington Commanders,4,2:49,Dallas Cowboys,KaVontae Turpin 99 yard fumble return (Brandon Aubrey kick),27,17
2024-11-24,Dallas Cowboys,Washington Commanders,4,1:40,Washington Commanders,Austin Seibert 51 yard field goal,27,20
2024-11-24,Dallas Cowboys,Washington Commanders,4,0:33,Washington Commanders,Terry McLaurin 86 yard pass from Jayden Daniels (Austin Seibert kick failed),27,26
2024-11-24,Dallas Cowboys,Washington Commanders,4,0:14,Dallas Cowboys,Juanyeh Thomas 43 yard kickoff return (Brandon Aubrey kick),34,26
