Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Denver Broncos,Las Vegas Raiders,Bo Nix,Denver Broncos,273,2,0,0,0,0,5,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Jaleel McLaughlin,Denver Broncos,0,0,0,0,0,0,44,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Audric Estime,Denver Broncos,0,0,0,0,0,0,15,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Michael Burton,Denver Broncos,0,0,0,1,8,0,3,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Courtland Sutton,Denver Broncos,0,0,0,8,97,2,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Devaughn Vele,Denver Broncos,0,0,0,6,80,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Troy Franklin,Denver Broncos,0,0,0,2,31,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Lil'Jordan Humphrey,Denver Broncos,0,0,0,2,4,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Adam Trautman,Denver Broncos,0,0,0,1,3,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Marvin Mims,Denver Broncos,0,0,0,3,44,0,-2,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Javonte Williams,Denver Broncos,0,0,0,2,6,0,-2,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Gardner Minshew II,Las Vegas Raiders,230,1,1,0,0,0,5,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Desmond Ridder,Las Vegas Raiders,64,0,0,0,0,0,3,0,1
2024-11-24,Denver Broncos,Las Vegas Raiders,AJ Cole III,Las Vegas Raiders,34,0,0,0,0,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Sincere McCormick,Las Vegas Raiders,0,0,0,0,0,0,33,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Ameer Abdullah,Las Vegas Raiders,0,0,0,5,37,1,28,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Jakobi Meyers,Las Vegas Raiders,0,0,0,10,121,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Tre Tucker,Las Vegas Raiders,0,0,0,7,82,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Brock Bowers,Las Vegas Raiders,0,0,0,4,38,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Divine Deablo,Las Vegas Raiders,0,0,0,1,34,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,Michael Mayer,Las Vegas Raiders,0,0,0,2,11,0,0,0,0
2024-11-24,Denver Broncos,Las Vegas Raiders,DJ Turner,Las Vegas Raiders,0,0,0,2,5,0,0,0,0
