Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-24,Denver Broncos,Las Vegas Raiders,1,2:47,Denver Broncos,Wil Lutz 38 yard field goal,3,0
2024-11-24,Denver Broncos,Las Vegas Raiders,2,13:36,Las Vegas Raiders,Ameer Abdullah 6 yard pass from Gardner Minshew II (Daniel Carlson kick),3,7
2024-11-24,Denver Broncos,Las Vegas Raiders,2,9:21,Denver Broncos,Wil Lutz 53 yard field goal,6,7
2024-11-24,Denver Broncos,Las Vegas Raiders,2,3:48,Las Vegas Raiders,Daniel Carlson 34 yard field goal,6,10
2024-11-24,Denver Broncos,Las Vegas Raiders,2,0:53,Denver Broncos,Wil Lutz 54 yard field goal,9,10
2024-11-24,Denver Broncos,Las Vegas Raiders,2,0:00,Las Vegas Raiders,Daniel Carlson 34 yard field goal,9,13
2024-11-24,Denver Broncos,Las Vegas Raiders,3,10:49,Denver Broncos,Courtland Sutton 18 yard pass from Bo Nix (Wil Lutz kick),16,13
2024-11-24,Denver Broncos,Las Vegas Raiders,4,12:05,Denver Broncos,Wil Lutz 45 yard field goal,19,13
2024-11-24,Denver Broncos,Las Vegas Raiders,4,8:59,Las Vegas Raiders,Daniel Carlson 53 yard field goal,19,16
2024-11-24,Denver Broncos,Las Vegas Raiders,4,5:30,Denver Broncos,Courtland Sutton 2 yard pass from Bo Nix (Wil Lutz kick),26,16
2024-11-24,Denver Broncos,Las Vegas Raiders,4,3:38,Las Vegas Raiders,Daniel Carlson 22 yard field goal,26,19
2024-11-24,Denver Broncos,Las Vegas Raiders,4,1:56,Denver Broncos,Wil Lutz 33 yard field goal,29,19
