Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Detroit Lions,Indianapolis Colts,Jared Goff,Detroit Lions,269,0,0,0,0,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Jahmyr Gibbs,Detroit Lions,0,0,0,3,9,0,90,2,0
2024-11-24,Detroit Lions,Indianapolis Colts,David Montgomery,Detroit Lions,0,0,0,3,36,0,37,1,0
2024-11-24,Detroit Lions,Indianapolis Colts,Craig Reynolds,Detroit Lions,0,0,0,0,0,0,6,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Jameson Williams,Detroit Lions,0,0,0,5,64,0,4,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Amon-Ra St. Brown,Detroit Lions,0,0,0,6,62,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Tim Patrick,Detroit Lions,0,0,0,4,55,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Brock Wright,Detroit Lions,0,0,0,2,24,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Sam LaPorta,Detroit Lions,0,0,0,3,19,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Kalif Raymond,Detroit Lions,0,0,0,0,0,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Anthony Richardson,Indianapolis Colts,172,0,0,0,0,0,61,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Jonathan Taylor,Indianapolis Colts,0,0,0,0,0,0,35,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Michael Pittman Jr.,Indianapolis Colts,0,0,0,6,96,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Alec Pierce,Indianapolis Colts,0,0,0,1,39,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Josh Downs,Indianapolis Colts,0,0,0,3,27,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Adonai Mitchell,Indianapolis Colts,0,0,0,1,10,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Andrew Ogletree,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Kylen Granson,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-11-24,Detroit Lions,Indianapolis Colts,Ashton Dulin,Indianapolis Colts,0,0,0,0,0,0,0,0,0
