Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Kansas City Chiefs,Carolina Panthers,Patrick Mahomes,Kansas City Chiefs,269,3,0,0,0,0,60,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Kareem Hunt,Kansas City Chiefs,0,0,0,3,19,0,68,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Mecole Hardman,Kansas City Chiefs,0,0,0,0,0,0,15,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Samaje Perine,Kansas City Chiefs,0,0,0,2,11,0,13,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Xavier Worthy,Kansas City Chiefs,0,0,0,4,46,0,5,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Carson Steele,Kansas City Chiefs,0,0,0,1,9,0,4,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Noah Gray,Kansas City Chiefs,0,0,0,4,66,2,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Travis Kelce,Kansas City Chiefs,0,0,0,6,62,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,DeAndre Hopkins,Kansas City Chiefs,0,0,0,5,35,1,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Justin Watson,Kansas City Chiefs,0,0,0,1,15,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,JuJu Smith-Schuster,Kansas City Chiefs,0,0,0,1,6,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Bryce Young,Carolina Panthers,263,1,0,0,0,0,20,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Chuba Hubbard,Carolina Panthers,0,0,0,1,2,0,58,1,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Jonathon Brooks,Carolina Panthers,0,0,0,0,0,0,7,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,David Moore,Carolina Panthers,0,0,0,6,81,1,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Adam Thielen,Carolina Panthers,0,0,0,3,57,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Xavier Legette,Carolina Panthers,0,0,0,4,56,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Ja'Tavion Sanders,Carolina Panthers,0,0,0,3,49,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Deven Thompkins,Carolina Panthers,0,0,0,3,13,0,0,0,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,Tommy Tremble,Carolina Panthers,0,0,0,1,5,0,0,0,0
