Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-24,Kansas City Chiefs,Carolina Panthers,1,13:35,Kansas City Chiefs,Noah Gray 35 yard pass from Patrick Mahomes (Spencer Shrader kick),7,0
2024-11-24,Kansas City Chiefs,Carolina Panthers,1,9:24,Carolina Panthers,Eddy Piñeiro 30 yard field goal,7,3
2024-11-24,Kansas City Chiefs,Carolina Panthers,1,2:39,Kansas City Chiefs,Spencer Shrader 25 yard field goal,10,3
2024-11-24,Kansas City Chiefs,Carolina Panthers,2,14:42,Carolina Panthers,Eddy Piñeiro 32 yard field goal,10,6
2024-11-24,Kansas City Chiefs,Carolina Panthers,2,7:24,Kansas City Chiefs,Spencer Shrader 41 yard field goal,13,6
2024-11-24,Kansas City Chiefs,Carolina Panthers,2,0:44,Kansas City Chiefs,Noah Gray 11 yard pass from Patrick Mahomes (Spencer Shrader kick),20,6
2024-11-24,Kansas City Chiefs,Carolina Panthers,2,0:00,Carolina Panthers,Eddy Piñeiro 29 yard field goal,20,9
2024-11-24,Kansas City Chiefs,Carolina Panthers,3,6:26,Carolina Panthers,David Moore 1 yard pass from Bryce Young (Eddy Piñeiro kick),20,16
2024-11-24,Kansas City Chiefs,Carolina Panthers,3,2:42,Kansas City Chiefs,DeAndre Hopkins 3 yard pass from Patrick Mahomes (Spencer Shrader kick),27,16
2024-11-24,Kansas City Chiefs,Carolina Panthers,4,12:37,Carolina Panthers,Eddy Piñeiro 33 yard field goal,27,19
2024-11-24,Kansas City Chiefs,Carolina Panthers,4,1:46,Carolina Panthers,Chuba Hubbard 1 yard rush (Chuba Hubbard run),27,27
2024-11-24,Kansas City Chiefs,Carolina Panthers,4,0:00,Kansas City Chiefs,Spencer Shrader 31 yard field goal,30,27
