Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Minnesota Vikings,Chicago Bears,Sam Darnold,Minnesota Vikings,330,2,0,0,0,0,-1,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Nick Mullens,Minnesota Vikings,14,0,0,0,0,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Aaron Jones,Minnesota Vikings,0,0,0,3,23,0,106,1,1
2024-11-24,Minnesota Vikings,Chicago Bears,Cam Akers,Minnesota Vikings,0,0,0,1,6,0,19,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Jordan Addison,Minnesota Vikings,0,0,0,8,162,1,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,T.J. Hockenson,Minnesota Vikings,0,0,0,7,114,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Justin Jefferson,Minnesota Vikings,0,0,0,2,27,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Johnny Mundt,Minnesota Vikings,0,0,0,1,7,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Jalen Nailor,Minnesota Vikings,0,0,0,1,5,1,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,C.J. Ham,Minnesota Vikings,0,0,0,0,0,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Caleb Williams,Chicago Bears,340,2,0,0,0,0,33,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,D.J. Moore,Chicago Bears,0,0,0,7,106,1,13,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,D'Andre Swift,Chicago Bears,0,0,0,3,35,0,30,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Roschon Johnson,Chicago Bears,0,0,0,1,10,0,2,1,0
2024-11-24,Minnesota Vikings,Chicago Bears,Keenan Allen,Chicago Bears,0,0,0,9,86,1,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Cole Kmet,Chicago Bears,0,0,0,7,64,0,0,0,0
2024-11-24,Minnesota Vikings,Chicago Bears,Rome Odunze,Chicago Bears,0,0,0,5,39,0,0,0,0
