Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,New England Patriots,Miami Dolphins,Drake Maye,New England Patriots,222,1,1,0,0,0,26,0,1
2024-11-24,New England Patriots,Miami Dolphins,Kendrick Bourne,New England Patriots,0,0,0,3,30,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Antonio Gibson,New England Patriots,0,0,0,1,14,0,31,0,0
2024-11-24,New England Patriots,Miami Dolphins,Jamycal Hasty,New England Patriots,0,0,0,2,0,0,15,0,0
2024-11-24,New England Patriots,Miami Dolphins,Rhamondre Stevenson,New England Patriots,0,0,0,0,0,0,13,0,0
2024-11-24,New England Patriots,Miami Dolphins,Demario Douglas,New England Patriots,0,0,0,5,62,0,1,0,0
2024-11-24,New England Patriots,Miami Dolphins,Austin Hooper,New England Patriots,0,0,0,4,59,1,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Hunter Henry,New England Patriots,0,0,0,5,44,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Ja'Lynn Polk,New England Patriots,0,0,0,1,7,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Kayshon Boutte,New England Patriots,0,0,0,1,6,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Javon Baker,New England Patriots,0,0,0,0,0,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Tua Tagovailoa,Miami Dolphins,317,4,0,0,0,0,-2,0,0
2024-11-24,New England Patriots,Miami Dolphins,De'Von Achane,Miami Dolphins,0,0,0,3,24,2,32,0,0
2024-11-24,New England Patriots,Miami Dolphins,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,28,0,1
2024-11-24,New England Patriots,Miami Dolphins,Raheem Mostert,Miami Dolphins,0,0,0,1,-3,0,5,0,0
2024-11-24,New England Patriots,Miami Dolphins,Malik Washington,Miami Dolphins,0,0,0,1,1,0,2,0,0
2024-11-24,New England Patriots,Miami Dolphins,Jaylen Waddle,Miami Dolphins,0,0,0,8,144,1,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Jonnu Smith,Miami Dolphins,0,0,0,9,87,1,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Tyreek Hill,Miami Dolphins,0,0,0,5,48,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Julian Hill,Miami Dolphins,0,0,0,1,8,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Durham Smythe,Miami Dolphins,0,0,0,1,8,0,0,0,0
2024-11-24,New England Patriots,Miami Dolphins,Odell Beckham Jr.,Miami Dolphins,0,0,0,0,0,0,0,0,0
