Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Jalen Hurts,Philadelphia Eagles,179,1,0,0,0,0,39,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Saquon Barkley,Philadelphia Eagles,0,0,0,4,47,0,255,2,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Kenneth Gainwell,Philadelphia Eagles,0,0,0,0,0,0,22,1,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,A.J. Brown,Philadelphia Eagles,0,0,0,6,109,1,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Dallas Goedert,Philadelphia Eagles,0,0,0,4,19,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Jahan Dotson,Philadelphia Eagles,0,0,0,1,4,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Johnny Wilson,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Grant Calcaterra,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Kenny Pickett,Philadelphia Eagles,0,0,0,0,0,0,-2,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Matthew Stafford,Los Angeles Rams,243,2,0,0,0,0,15,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Kyren Williams,Los Angeles Rams,0,0,0,0,0,0,72,1,1
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Blake Corum,Los Angeles Rams,0,0,0,0,0,0,5,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Puka Nacua,Los Angeles Rams,0,0,0,9,117,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Cooper Kupp,Los Angeles Rams,0,0,0,8,60,1,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Tutu Atwell,Los Angeles Rams,0,0,0,3,30,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Demarcus Robinson,Los Angeles Rams,0,0,0,2,15,1,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Tyler Johnson,Los Angeles Rams,0,0,0,1,11,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Colby Parkinson,Los Angeles Rams,0,0,0,1,10,0,0,0,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,Davis Allen,Los Angeles Rams,0,0,0,0,0,0,0,0,0
