Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-24,Philadelphia Eagles,Los Angeles Rams,1,5:13,Philadelphia Eagles,Jake Elliott 21 yard field goal,3,0
2024-11-24,Philadelphia Eagles,Los Angeles Rams,1,1:02,Los Angeles Rams,Kyren Williams 1 yard rush (Joshua Karty kick),3,7
2024-11-24,Philadelphia Eagles,Los Angeles Rams,2,6:17,Philadelphia Eagles,Jake Elliott 31 yard field goal,6,7
2024-11-24,Philadelphia Eagles,Los Angeles Rams,2,1:27,Philadelphia Eagles,Jalen Hurts 6 yard pass from Jalen Hurts (Jake Elliott kick),13,7
2024-11-24,Philadelphia Eagles,Los Angeles Rams,3,14:49,Philadelphia Eagles,Saquon Barkley 70 yard rush (Jake Elliott kick),20,7
2024-11-24,Philadelphia Eagles,Los Angeles Rams,3,10:51,Los Angeles Rams,Demarcus Robinson 2 yard pass from Matthew Stafford (Joshua Karty kick),20,14
2024-11-24,Philadelphia Eagles,Los Angeles Rams,3,6:17,Philadelphia Eagles,Kenneth Gainwell 13 yard rush (Jake Elliott kick),27,14
2024-11-24,Philadelphia Eagles,Los Angeles Rams,4,10:30,Philadelphia Eagles,Jake Elliott 26 yard field goal,30,14
2024-11-24,Philadelphia Eagles,Los Angeles Rams,4,2:44,Philadelphia Eagles,Saquon Barkley 72 yard rush (Jake Elliott kick),37,14
2024-11-24,Philadelphia Eagles,Los Angeles Rams,4,1:07,Los Angeles Rams,Cooper Kupp 27 yard pass from Matthew Stafford (pass failed),37,20
