Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,San Francisco 49ers,Green Bay Packers,Brandon Allen,San Francisco 49ers,199,1,1,0,0,0,5,0,1
2024-11-24,San Francisco 49ers,Green Bay Packers,Christian McCaffrey,San Francisco 49ers,0,0,0,3,37,0,31,0,1
2024-11-24,San Francisco 49ers,Green Bay Packers,Jordan Mason,San Francisco 49ers,0,0,0,1,5,0,8,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,George Kittle,San Francisco 49ers,0,0,0,6,82,1,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Jauan Jennings,San Francisco 49ers,0,0,0,5,40,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Deebo Samuel,San Francisco 49ers,0,0,0,1,21,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Kyle Juszczyk,San Francisco 49ers,0,0,0,1,14,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Chris Conley,San Francisco 49ers,0,0,0,0,0,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Eric Saubert,San Francisco 49ers,0,0,0,0,0,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Jordan Love,Green Bay Packers,163,2,0,0,0,0,2,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Josh Jacobs,Green Bay Packers,0,0,0,0,0,0,106,3,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Emanuel Wilson,Green Bay Packers,0,0,0,0,0,0,41,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Chris Brooks,Green Bay Packers,0,0,0,1,15,0,11,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Bo Melton,Green Bay Packers,0,0,0,0,0,0,5,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Christian Watson,Green Bay Packers,0,0,0,0,0,0,4,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Romeo Doubs,Green Bay Packers,0,0,0,3,54,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Tucker Kraft,Green Bay Packers,0,0,0,2,26,1,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Jayden Reed,Green Bay Packers,0,0,0,3,26,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Dontayvion Wicks,Green Bay Packers,0,0,0,1,25,0,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,Malik Heath,Green Bay Packers,0,0,0,2,15,1,0,0,0
2024-11-24,San Francisco 49ers,Green Bay Packers,John FitzPatrick,Green Bay Packers,0,0,0,1,2,0,0,0,0
