Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Tampa Bay Buccaneers,New York Giants,Baker Mayfield,Tampa Bay Buccaneers,294,0,0,0,0,0,29,1,1
2024-11-24,Tampa Bay Buccaneers,New York Giants,Bucky Irving,Tampa Bay Buccaneers,0,0,0,6,64,0,87,1,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Rachaad White,Tampa Bay Buccaneers,0,0,0,1,10,0,37,1,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Sean Tucker,Tampa Bay Buccaneers,0,0,0,1,7,0,3,1,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Mike Evans,Tampa Bay Buccaneers,0,0,0,5,68,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Rakim Jarrett,Tampa Bay Buccaneers,0,0,0,1,30,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Cade Otton,Tampa Bay Buccaneers,0,0,0,1,30,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Payne Durham,Tampa Bay Buccaneers,0,0,0,1,26,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Trey Palmer,Tampa Bay Buccaneers,0,0,0,1,18,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,5,16,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Ryan Miller,Tampa Bay Buccaneers,0,0,0,1,14,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Jalen McMillan,Tampa Bay Buccaneers,0,0,0,1,11,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Tommy DeVito,New York Giants,189,0,0,0,0,0,32,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Drew Lock,New York Giants,3,0,0,0,0,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Tyrone Tracy,New York Giants,0,0,0,4,28,0,42,0,1
2024-11-24,Tampa Bay Buccaneers,New York Giants,Devin Singletary,New York Giants,0,0,0,2,7,0,3,1,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Malik Nabers,New York Giants,0,0,0,6,64,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Wan'Dale Robinson,New York Giants,0,0,0,5,47,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Theo Johnson,New York Giants,0,0,0,3,39,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Darius Slayton,New York Giants,0,0,0,0,0,0,0,0,0
2024-11-24,Tampa Bay Buccaneers,New York Giants,Eric Gray,New York Giants,0,0,0,2,7,0,-1,0,0
