Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-24,Tennessee Titans,Houston Texans,Will Levis,Tennessee Titans,278,2,1,0,0,0,10,0,1
2024-11-24,Tennessee Titans,Houston Texans,Tyler Boyd,Tennessee Titans,0,0,0,6,55,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Tony Pollard,Tennessee Titans,0,0,0,3,10,0,119,1,0
2024-11-24,Tennessee Titans,Houston Texans,Julius Chestnut,Tennessee Titans,0,0,0,1,2,0,3,0,0
2024-11-24,Tennessee Titans,Houston Texans,Calvin Ridley,Tennessee Titans,0,0,0,5,93,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Chigoziem Okonkwo,Tennessee Titans,0,0,0,1,70,1,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Nick Westbrook-Ikhine,Tennessee Titans,0,0,0,2,48,1,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Nick Vannett,Tennessee Titans,0,0,0,0,0,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,C.J. Stroud,Houston Texans,247,2,2,0,0,0,18,0,0
2024-11-24,Tennessee Titans,Houston Texans,Joe Mixon,Houston Texans,0,0,0,5,23,0,22,0,0
2024-11-24,Tennessee Titans,Houston Texans,Nico Collins,Houston Texans,0,0,0,5,92,1,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Tank Dell,Houston Texans,0,0,0,3,72,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Cade Stover,Houston Texans,0,0,0,3,26,1,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Dalton Schultz,Houston Texans,0,0,0,2,20,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Robert Woods,Houston Texans,0,0,0,1,8,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,John Metchie,Houston Texans,0,0,0,1,6,0,0,0,0
2024-11-24,Tennessee Titans,Houston Texans,Xavier Hutchinson,Houston Texans,0,0,0,0,0,0,0,0,0
