Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-24,Tennessee Titans,Houston Texans,1,14:42,Houston Texans,Cade Stover 19 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),0,7
2024-11-24,Tennessee Titans,Houston Texans,1,11:15,Tennessee Titans,Nick Folk 51 yard field goal,3,7
2024-11-24,Tennessee Titans,Houston Texans,1,1:57,Tennessee Titans,Nick Westbrook-Ikhine 38 yard pass from Will Levis (Nick Folk kick),10,7
2024-11-24,Tennessee Titans,Houston Texans,2,11:03,Tennessee Titans,Tony Pollard 10 yard rush (Nick Folk kick),17,7
2024-11-24,Tennessee Titans,Houston Texans,2,6:17,Houston Texans,Nico Collins 5 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),17,14
2024-11-24,Tennessee Titans,Houston Texans,2,1:47,Houston Texans,Ka'imi Fairbairn 28 yard field goal,17,17
2024-11-24,Tennessee Titans,Houston Texans,2,0:00,Tennessee Titans,Nick Folk 56 yard field goal,20,17
2024-11-24,Tennessee Titans,Houston Texans,3,9:08,Tennessee Titans,Nick Folk 51 yard field goal,23,17
2024-11-24,Tennessee Titans,Houston Texans,3,0:04,Houston Texans,Jimmie Ward 65 yard interception return (Ka'imi Fairbairn kick),23,24
2024-11-24,Tennessee Titans,Houston Texans,4,9:46,Houston Texans,Ka'imi Fairbairn 54 yard field goal,23,27
2024-11-24,Tennessee Titans,Houston Texans,4,9:35,Tennessee Titans,Chigoziem Okonkwo 70 yard pass from Will Levis (Nick Folk kick),30,27
2024-11-24,Tennessee Titans,Houston Texans,4,1:13,Tennessee Titans,"Safety, C.J. Stroud sacked in end zone by Harold Landry III",32,27
